user 	 quest 	 exists 	 dataset 	 cond 	 task 	 answer 	 time 				2.5D	2.5DC	2D	3D
5	29	1	2	1	3	-1	23				0	1	1	1
5	33	1	3	1	3	0	11				1	1	1	1
5	37	0	1	1	4	0	22				1	1	1	1
5	41	0	2	1	4	0	16				1	1	1	1
5	45	1	3	1	4	0	21				1	1	1	1
5	49	1	1	1	5	-1	35				0	1	1	1
5	53	1	2	1	5	0	14				1	1	1	1
5	57	1	3	1	5	-1	35				0	0	1	1
6	1	1	1	1	1	0	10				1	1	0	1
6	5	1	2	1	1	0	9				1	1	1	1
6	9	0	3	1	1	0	16				1	1	1	1
6	13	1	1	1	2	0	13				1	0	1	0
6	17	1	2	1	2	0	15				1	1	1	0
6	21	1	3	1	2	0	17				1	1	0	1
6	25	1	1	1	3	0	15				1	1	1	1
6	29	1	2	1	3	0	9				1	1	1	1
6	33	1	3	1	3	0	11				1	1	1	1
6	37	0	1	1	4	0	17				1	1	1	1
6	41	0	2	1	4	0	17				1	1	1	1
6	45	1	3	1	4	0	21				1	1	1	1
6	49	1	1	1	5	-1	91				0	0	1	1
6	53	1	2	1	5	0	20				1	1	1	0
6	57	1	3	1	5	0	12				1	0	1	1
7	2	0	1	1	1	0	11				1	1	1	1
7	6	1	2	1	1	0	12				1	1	1	1
7	10	0	3	1	1	0	15				1	1	1	1
7	14	1	1	1	2	0	11				1	1	1	1
7	18	1	2	1	2	0	10				1	1	1	1
7	22	1	3	1	2	0	17				1	1	0	1
7	26	1	1	1	3	0	11				1	1	1	1
7	30	0	2	1	3	0	24				1	1	1	1
7	34	0	3	1	3	0	16				1	1	1	1
7	38	1	1	1	4	0	10				1	1	1	1
7	42	0	2	1	4	0	30				1	1	0	1
7	46	1	3	1	4	0	9				1	1	1	1
7	50	1	1	1	5	0	26				1	1	1	1
7	54	1	2	1	5	0	14				1	1	1	1
7	58	1	3	1	5	-1	36				0	1	1	1
8	2	0	1	1	1	0	15				1	1	1	1
8	6	1	2	1	1	0	18				1	1	1	0
8	10	0	3	1	1	0	17				1	1	1	1
8	14	1	1	1	2	-1	18				0	1	0	0
8	18	1	2	1	2	-1	32				0	1	1	1
8	22	1	3	1	2	-1	22				0	1	1	0
8	26	1	1	1	3	0	10				1	1	1	1
8	30	0	2	1	3	0	17				1	1	1	1
8	34	0	3	1	3	0	35				1	1	1	1
8	38	1	1	1	4	0	13				1	1	0	0
8	42	0	2	1	4	0	17				1	1	1	1
8	46	1	3	1	4	0	16				1	1	1	1
8	50	1	1	1	5	0	23				1	0	1	1
8	54	1	2	1	5	0	24				1	1	1	1
8	58	1	3	1	5	-1	22				0	1	1	1
9	3	0	1	1	1	0	18				1	1	1	1
9	7	0	2	1	1	0	16				1	1	1	1
9	11	1	3	1	1	0	6				1	1	1	1
9	15	1	1	1	2	0	10				1	1	1	1
9	19	1	2	1	2	0	9				1	1	1	1
9	23	1	3	1	2	0	13				1	1	1	0
9	27	0	1	1	3	0	14				1	1	1	1
9	31	0	2	1	3	0	15				1	1	1	1
9	35	0	3	1	3	0	16				1	1	1	1
9	39	1	1	1	4	0	7				1	1	1	1
9	43	1	2	1	4	0	8				1	1	1	0
9	47	0	3	1	4	0	14				1	1	1	1
9	51	1	1	1	5	0	9				1	0	1	1
9	55	1	2	1	5	-1	48				0	1	1	1
9	59	1	3	1	5	0	9				1	1	1	1
10	2	0	1	1	1	0	5				1	1	1	1
10	6	1	2	1	1	0	5				1	1	1	1
10	10	0	3	1	1	0	5				1	1	1	1
10	14	1	1	1	2	0	7				1	1	1	1
10	18	1	2	1	2	0	24				1	1	1	1
10	22	1	3	1	2	0	7				1	1	1	0
10	26	1	1	1	3	0	5				1	1	1	1
10	30	0	2	1	3	0	7				1	1	1	1
10	34	0	3	1	3	-1	4				0	1	1	1
10	38	1	1	1	4	0	6				1	1	1	1
10	42	0	2	1	4	0	5				1	1	1	0
10	46	1	3	1	4	0	4				1	1	1	1
10	50	1	1	1	5	-1	4				0	1	1	1
10	54	1	2	1	5	0	4				1	1	1	1
10	58	1	3	1	5	0	5				1	1	1	1
11	2	0	1	1	1	0	8				1	1	1	1
11	6	1	2	1	1	0	4				1	1	1	1
11	10	0	3	1	1	0	12				1	1	1	1
11	14	1	1	1	2	0	11				1	1	1	1
11	18	1	2	1	2	0	12				1	1	1	1
11	22	1	3	1	2	0	15				1	1	1	1
11	26	1	1	1	3	0	13				1	1	1	1
11	30	0	2	1	3	0	9				1	1	1	1
11	34	0	3	1	3	0	14				1	1	1	1
11	38	1	1	1	4	0	4				1	1	1	1
11	42	0	2	1	4	0	12				1	1	1	1
11	46	1	3	1	4	0	7				1	1	1	1
11	50	1	1	1	5	0	39				1	1	1	1
11	54	1	2	1	5	0	9				1	1	1	1
11	58	1	3	1	5	0	12				1	0	1	1
12	3	0	1	1	1	0	13				1	1	1	1
12	7	0	2	1	1	0	14				1	1	1	1
12	11	1	3	1	1	0	16				1	1	1	1
12	15	1	1	1	2	0	19				1	1	0	1
12	19	1	2	1	2	0	19				1	1	0	1
12	23	1	3	1	2	0	16				1	1	1	0
12	27	0	1	1	3	0	21				1	1	1	1
12	31	0	2	1	3	0	15				1	1	1	1
12	35	0	3	1	3	0	16				1	1	1	1
12	39	1	1	1	4	0	11				1	1	1	1
12	43	1	2	1	4	0	10				1	1	1	1
12	47	0	3	1	4	0	21				1	1	1	1
12	51	1	1	1	5	0	37				1	0	1	1
12	55	1	2	1	5	0	39				1	1	1	1
12	59	1	3	1	5	-1	44				0	1	1	1
13	4	1	1	1	1	0	9				1	1	1	1
13	8	1	2	1	1	0	12				1	1	1	1
13	12	0	3	1	1	0	28				1	1	1	1
13	16	1	1	1	2	0	16				1	1	1	1
13	20	1	2	1	2	0	27				1	1	1	1
13	24	1	3	1	2	0	24				1	1	1	1
13	28	0	1	1	3	0	15				1	1	1	1
13	32	1	2	1	3	0	9				1	1	1	1
13	36	1	3	1	3	0	9				1	1	1	1
13	40	0	1	1	4	0	18				1	1	1	1
13	44	0	2	1	4	-1	10				0	1	0	1
13	48	0	3	1	4	0	21				1	1	1	1
13	52	1	1	1	5	0	18				1	1	1	1
13	56	1	2	1	5	-1	49				0	0	1	1
13	60	1	3	1	5	0	19				1	1	1	1
14	4	1	1	1	1	0	15				1	1	1	1
14	8	1	2	1	1	0	8				1	1	1	1
14	12	0	3	1	1	0	10				1	1	0	1
14	16	1	1	1	2	-1	10				0	1	0	0
14	20	1	2	1	2	0	11				1	1	0	0
14	24	1	3	1	2	0	19				1	1	0	0
14	28	0	1	1	3	0	14				1	1	1	1
14	32	1	2	1	3	0	11				1	1	1	1
14	36	1	3	1	3	0	8				1	1	1	1
14	40	0	1	1	4	0	20				1	1	1	0
14	44	0	2	1	4	0	10				1	1	1	1
14	48	0	3	1	4	0	10				1	1	1	1
14	52	1	1	1	5	0	13				1	1	1	1
14	56	1	2	1	5	0	10				1	1	1	1
14	60	1	3	1	5	0	9				1	1	1	1
15	1	1	1	1	1	0	4				1	1	1	1
15	5	1	2	1	1	0	4				1	1	1	1
15	9	0	3	1	1	0	10				1	1	1	1
15	13	1	1	1	2	0	10				1	1	1	1
15	17	1	2	1	2	0	8				1	1	1	0
15	21	1	3	1	2	-1	14				0	1	0	1
15	25	1	1	1	3	0	8				1	1	1	1
15	29	1	2	1	3	-1	12				0	1	1	1
15	33	1	3	1	3	0	3				1	0	1	1
15	37	0	1	1	4	0	5				1	1	1	1
15	41	0	2	1	4	0	9				1	0	1	1
15	45	1	3	1	4	0	8				1	1	1	1
15	49	1	1	1	5	0	11				1	1	1	1
15	53	1	2	1	5	0	6				1	1	1	1
15	57	1	3	1	5	0	8				1	1	1	1
16	1	1	1	1	1	0	4				1	1	1	1
16	5	1	2	1	1	0	4				1	1	1	1
16	9	0	3	1	1	0	9				1	1	1	1
16	13	1	1	1	2	0	6				1	1	0	1
16	17	1	2	1	2	0	7				1	1	0	1
16	21	1	3	1	2	0	13				1	1	1	0
16	25	1	1	1	3	0	3				1	1	1	1
16	29	1	2	1	3	0	11				1	1	1	1
16	33	1	3	1	3	0	4				1	1	1	1
16	37	0	1	1	4	0	6				1	1	1	1
16	41	0	2	1	4	0	8				1	1	1	1
16	45	1	3	1	4	0	6				1	1	1	1
16	49	1	1	1	5	0	3				1	1	1	1
16	53	1	2	1	5	0	3				1	1	1	1
16	57	1	3	1	5	0	4				1	1	1	1
1	4	1	1	2	1	-1	14			mean	0.8875	0.920833333	0.891666667	0.891666667
1	8	1	2	2	1	0	10			stddev	0.316640974	0.270562975	0.311450469	0.311450469
1	12	0	3	2	1	0	15			sqrtcnt	15.49193338	15.49193338	15.49193338	15.49193338
1	16	1	1	2	2	0	12			stderr	0.020439087	0.017464765	0.020104041	0.020104041
1	20	1	2	2	2	0	10							
1	24	1	3	2	2	-1	10							
1	28	0	1	2	3	-1	9							
1	32	1	2	2	3	0	14							
1	36	1	3	2	3	0	9				0.1125	0.079166667	0.108333333	0.108333333
1	40	0	1	2	4	0	34				0.020439087	0.017464765	0.020104041	0.020104041
1	44	0	2	2	4	0	26							
1	48	0	3	2	4	0	12							
1	52	1	1	2	5	0	12				0.8875	0.920833333	0.891666667	0.891666667
1	56	1	2	2	5	0	10				0.020439087	0.017464765	0.020104041	0.020104041
1	60	1	3	2	5	0	11				0.010219543	0.008732382	0.010052021	0.010052021
2	3	0	1	2	1	0	13
2	7	0	2	2	1	0	12
2	11	1	3	2	1	0	6
2	15	1	1	2	2	0	10
2	19	1	2	2	2	0	8
2	23	1	3	2	2	0	11
2	27	0	1	2	3	0	8
2	31	0	2	2	3	0	7
2	35	0	3	2	3	0	8
2	39	1	1	2	4	0	14
2	43	1	2	2	4	0	7
2	47	0	3	2	4	-1	20
2	51	1	1	2	5	0	19
2	55	1	2	2	5	0	46
2	59	1	3	2	5	0	23
3	3	0	1	2	1	0	12
3	7	0	2	2	1	0	15
3	11	1	3	2	1	0	11
3	15	1	1	2	2	0	9
3	19	1	2	2	2	0	9
3	23	1	3	2	2	0	13
3	27	0	1	2	3	0	8
3	31	0	2	2	3	0	9
3	35	0	3	2	3	0	6
3	39	1	1	2	4	0	13
3	43	1	2	2	4	0	20
3	47	0	3	2	4	0	14
3	51	1	1	2	5	0	61
3	55	1	2	2	5	0	51
3	59	1	3	2	5	-1	26
4	4	1	1	2	1	-1	63
4	8	1	2	2	1	0	11
4	12	0	3	2	1	0	24
4	16	1	1	2	2	0	31
4	20	1	2	2	2	0	31
4	24	1	3	2	2	0	23
4	28	0	1	2	3	0	7
4	32	1	2	2	3	0	12
4	36	1	3	2	3	0	14
4	40	0	1	2	4	0	17
4	44	0	2	2	4	-1	16
4	48	0	3	2	4	0	82
4	52	1	1	2	5	0	12
4	56	1	2	2	5	0	10
4	60	1	3	2	5	0	14
5	2	0	1	2	1	0	23
5	6	1	2	2	1	0	18
5	10	0	3	2	1	-1	12
5	14	1	1	2	2	0	11
5	18	1	2	2	2	0	14
5	22	1	3	2	2	0	11
5	26	1	1	2	3	0	7
5	30	0	2	2	3	0	14
5	34	0	3	2	3	0	10
5	38	1	1	2	4	0	14
5	42	0	2	2	4	0	24
5	46	1	3	2	4	0	10
5	50	1	1	2	5	0	28
5	54	1	2	2	5	0	13
5	58	1	3	2	5	-1	40
6	2	0	1	2	1	0	10
6	6	1	2	2	1	0	17
6	10	0	3	2	1	0	18
6	14	1	1	2	2	-1	13
6	18	1	2	2	2	0	13
6	22	1	3	2	2	0	13
6	26	1	1	2	3	0	12
6	30	0	2	2	3	0	17
6	34	0	3	2	3	0	38
6	38	1	1	2	4	0	14
6	42	0	2	2	4	0	11
6	46	1	3	2	4	0	20
6	50	1	1	2	5	-1	15
6	54	1	2	2	5	0	6
6	58	1	3	2	5	-1	48
7	1	1	1	2	1	0	8
7	5	1	2	2	1	0	7
7	9	0	3	2	1	0	20
7	13	1	1	2	2	0	10
7	17	1	2	2	2	0	16
7	21	1	3	2	2	0	26
7	25	1	1	2	3	0	8
7	29	1	2	2	3	0	9
7	33	1	3	2	3	0	5
7	37	0	1	2	4	0	12
7	41	0	2	2	4	0	25
7	45	1	3	2	4	0	9
7	49	1	1	2	5	0	19
7	53	1	2	2	5	0	17
7	57	1	3	2	5	0	14
8	1	1	1	2	1	0	8
8	5	1	2	2	1	0	10
8	9	0	3	2	1	0	23
8	13	1	1	2	2	0	11
8	17	1	2	2	2	0	12
8	21	1	3	2	2	0	32
8	25	1	1	2	3	0	19
8	29	1	2	2	3	0	13
8	33	1	3	2	3	0	15
8	37	0	1	2	4	0	13
8	41	0	2	2	4	0	13
8	45	1	3	2	4	0	10
8	49	1	1	2	5	-1	34
8	53	1	2	2	5	0	15
8	57	1	3	2	5	0	15
9	2	0	1	2	1	0	9
9	6	1	2	2	1	0	9
9	10	0	3	2	1	0	11
9	14	1	1	2	2	0	12
9	18	1	2	2	2	0	9
9	22	1	3	2	2	0	9
9	26	1	1	2	3	0	14
9	30	0	2	2	3	0	19
9	34	0	3	2	3	0	11
9	38	1	1	2	4	0	16
9	42	0	2	2	4	0	8
9	46	1	3	2	4	0	12
9	50	1	1	2	5	-1	6
9	54	1	2	2	5	0	3
9	58	1	3	2	5	0	5
10	3	0	1	2	1	0	8
10	7	0	2	2	1	0	7
10	11	1	3	2	1	0	4
10	15	1	1	2	2	0	7
10	19	1	2	2	2	0	8
10	23	1	3	2	2	0	9
10	27	0	1	2	3	0	3
10	31	0	2	2	3	0	4
10	35	0	3	2	3	0	5
10	39	1	1	2	4	0	4
10	43	1	2	2	4	0	4
10	47	0	3	2	4	0	4
10	51	1	1	2	5	0	6
10	55	1	2	2	5	0	18
10	59	1	3	2	5	0	6
11	3	0	1	2	1	0	8
11	7	0	2	2	1	0	7
11	11	1	3	2	1	0	5
11	15	1	1	2	2	0	11
11	19	1	2	2	2	0	7
11	23	1	3	2	2	0	7
11	27	0	1	2	3	0	8
11	31	0	2	2	3	0	5
11	35	0	3	2	3	0	5
11	39	1	1	2	4	0	7
11	43	1	2	2	4	0	8
11	47	0	3	2	4	0	8
11	51	1	1	2	5	0	5
11	55	1	2	2	5	0	54
11	59	1	3	2	5	-1	17
12	2	0	1	2	1	0	12
12	6	1	2	2	1	0	7
12	10	0	3	2	1	0	16
12	14	1	1	2	2	0	10
12	18	1	2	2	2	0	11
12	22	1	3	2	2	0	14
12	26	1	1	2	3	0	6
12	30	0	2	2	3	0	10
12	34	0	3	2	3	0	7
12	38	1	1	2	4	0	8
12	42	0	2	2	4	0	15
12	46	1	3	2	4	0	14
12	50	1	1	2	5	-1	38
12	54	1	2	2	5	0	12
12	58	1	3	2	5	0	30
13	1	1	1	2	1	0	12
13	5	1	2	2	1	0	5
13	9	0	3	2	1	0	19
13	13	1	1	2	2	0	13
13	17	1	2	2	2	0	15
13	21	1	3	2	2	0	23
13	25	1	1	2	3	0	16
13	29	1	2	2	3	0	11
13	33	1	3	2	3	0	10
13	37	0	1	2	4	0	13
13	41	0	2	2	4	0	20
13	45	1	3	2	4	0	17
13	49	1	1	2	5	0	63
13	53	1	2	2	5	-1	23
13	57	1	3	2	5	0	24
14	1	1	1	2	1	0	10
14	5	1	2	2	1	0	8
14	9	0	3	2	1	0	12
14	13	1	1	2	2	0	8
14	17	1	2	2	2	0	8
14	21	1	3	2	2	0	29
14	25	1	1	2	3	0	9
14	29	1	2	2	3	0	5
14	33	1	3	2	3	0	4
14	37	0	1	2	4	0	8
14	41	0	2	2	4	0	13
14	45	1	3	2	4	0	9
14	49	1	1	2	5	0	28
14	53	1	2	2	5	0	5
14	57	1	3	2	5	0	7
15	4	1	1	2	1	0	6
15	8	1	2	2	1	0	4
15	12	0	3	2	1	0	8
15	16	1	1	2	2	0	10
15	20	1	2	2	2	0	6
15	24	1	3	2	2	0	8
15	28	0	1	2	3	0	7
15	32	1	2	2	3	0	3
15	36	1	3	2	3	-1	9
15	40	0	1	2	4	0	6
15	44	0	2	2	4	-1	6
15	48	0	3	2	4	0	10
15	52	1	1	2	5	0	8
15	56	1	2	2	5	0	6
15	60	1	3	2	5	0	9
16	4	1	1	2	1	0	4
16	8	1	2	2	1	0	7
16	12	0	3	2	1	0	11
16	16	1	1	2	2	0	9
16	20	1	2	2	2	0	7
16	24	1	3	2	2	0	9
16	28	0	1	2	3	0	3
16	32	1	2	2	3	0	4
16	36	1	3	2	3	0	3
16	40	0	1	2	4	0	5
16	44	0	2	2	4	0	9
16	48	0	3	2	4	0	11
16	52	1	1	2	5	0	6
16	56	1	2	2	5	0	4
16	60	1	3	2	5	0	8
1	1	1	1	3	1	0	12
1	5	1	2	3	1	0	8
1	9	0	3	3	1	0	21
1	13	1	1	3	2	0	13
1	17	1	2	3	2	0	14
1	21	1	3	3	2	-1	38
1	25	1	1	3	3	0	12
1	29	1	2	3	3	-1	29
1	33	1	3	3	3	-1	19
1	37	0	1	3	4	0	12
1	41	0	2	3	4	0	20
1	45	1	3	3	4	0	26
1	49	1	1	3	5	0	22
1	53	1	2	3	5	0	12
1	57	1	3	3	5	0	13
2	2	0	1	3	1	0	13
2	6	1	2	3	1	0	7
2	10	0	3	3	1	0	10
2	14	1	1	3	2	0	10
2	18	1	2	3	2	0	12
2	22	1	3	3	2	0	20
2	26	1	1	3	3	0	7
2	30	0	2	3	3	0	16
2	34	0	3	3	3	0	10
2	38	1	1	3	4	0	8
2	42	0	2	3	4	0	9
2	46	1	3	3	4	0	7
2	50	1	1	3	5	0	27
2	54	1	2	3	5	-1	24
2	58	1	3	3	5	-1	18
3	1	1	1	3	1	0	18
3	5	1	2	3	1	0	11
3	9	0	3	3	1	0	19
3	13	1	1	3	2	-1	22
3	17	1	2	3	2	0	21
3	21	1	3	3	2	-1	39
3	25	1	1	3	3	0	5
3	29	1	2	3	3	0	12
3	33	1	3	3	3	0	12
3	37	0	1	3	4	0	21
3	41	0	2	3	4	0	29
3	45	1	3	3	4	0	31
3	49	1	1	3	5	-1	67
3	53	1	2	3	5	0	38
3	57	1	3	3	5	-1	60
4	2	0	1	3	1	0	24
4	6	1	2	3	1	0	14
4	10	0	3	3	1	0	21
4	14	1	1	3	2	0	12
4	18	1	2	3	2	0	18
4	22	1	3	3	2	0	28
4	26	1	1	3	3	0	8
4	30	0	2	3	3	0	31
4	34	0	3	3	3	0	12
4	38	1	1	3	4	0	14
4	42	0	2	3	4	0	12
4	46	1	3	3	4	0	15
4	50	1	1	3	5	0	29
4	54	1	2	3	5	0	19
4	58	1	3	3	5	-1	93
5	3	0	1	3	1	0	17
5	7	0	2	3	1	0	13
5	11	1	3	3	1	0	16
5	15	1	1	3	2	0	24
5	19	1	2	3	2	0	13
5	23	1	3	3	2	0	20
5	27	0	1	3	3	0	8
5	31	0	2	3	3	0	12
5	35	0	3	3	3	0	15
5	39	1	1	3	4	0	15
5	43	1	2	3	4	0	9
5	47	0	3	3	4	0	27
5	51	1	1	3	5	0	15
5	55	1	2	3	5	0	19
5	59	1	3	3	5	0	11
6	4	1	1	3	1	-1	13
6	8	1	2	3	1	0	23
6	12	0	3	3	1	0	19
6	16	1	1	3	2	0	21
6	20	1	2	3	2	0	19
6	24	1	3	3	2	-1	23
6	28	0	1	3	3	0	11
6	32	1	2	3	3	0	31
6	36	1	3	3	3	0	5
6	40	0	1	3	4	0	22
6	44	0	2	3	4	0	12
6	48	0	3	3	4	0	12
6	52	1	1	3	5	0	13
6	56	1	2	3	5	0	18
6	60	1	3	3	5	0	20
7	4	1	1	3	1	0	12
7	8	1	2	3	1	0	20
7	12	0	3	3	1	0	12
7	16	1	1	3	2	0	14
7	20	1	2	3	2	0	50
7	24	1	3	3	2	-1	24
7	28	0	1	3	3	0	20
7	32	1	2	3	3	0	7
7	36	1	3	3	3	0	6
7	40	0	1	3	4	0	9
7	44	0	2	3	4	-1	15
7	48	0	3	3	4	0	10
7	52	1	1	3	5	0	20
7	56	1	2	3	5	0	11
7	60	1	3	3	5	0	16
8	3	0	1	3	1	0	14
8	7	0	2	3	1	0	15
8	11	1	3	3	1	0	12
8	15	1	1	3	2	-1	18
8	19	1	2	3	2	0	24
8	23	1	3	3	2	0	19
8	27	0	1	3	3	0	15
8	31	0	2	3	3	0	20
8	35	0	3	3	3	0	15
8	39	1	1	3	4	-1	15
8	43	1	2	3	4	0	10
8	47	0	3	3	4	0	16
8	51	1	1	3	5	0	11
8	55	1	2	3	5	0	16
8	59	1	3	3	5	0	20
9	1	1	1	3	1	0	15
9	5	1	2	3	1	0	21
9	9	0	3	3	1	0	27
9	13	1	1	3	2	0	15
9	17	1	2	3	2	0	16
9	21	1	3	3	2	0	21
9	25	1	1	3	3	0	5
9	29	1	2	3	3	0	6
9	33	1	3	3	3	0	6
9	37	0	1	3	4	0	10
9	41	0	2	3	4	0	27
9	45	1	3	3	4	0	9
9	49	1	1	3	5	0	91
9	53	1	2	3	5	0	12
9	57	1	3	3	5	0	7
10	1	1	1	3	1	0	8
10	5	1	2	3	1	0	5
10	9	0	3	3	1	0	12
10	13	1	1	3	2	0	9
10	17	1	2	3	2	0	10
10	21	1	3	3	2	0	15
10	25	1	1	3	3	0	5
10	29	1	2	3	3	0	4
10	33	1	3	3	3	0	4
10	37	0	1	3	4	0	5
10	41	0	2	3	4	0	18
10	45	1	3	3	4	0	7
10	49	1	1	3	5	0	11
10	53	1	2	3	5	0	10
10	57	1	3	3	5	0	6
11	4	1	1	3	1	0	5
11	8	1	2	3	1	0	10
11	12	0	3	3	1	0	17
11	16	1	1	3	2	0	12
11	20	1	2	3	2	0	17
11	24	1	3	3	2	0	18
11	28	0	1	3	3	0	9
11	32	1	2	3	3	0	3
11	36	1	3	3	3	0	4
11	40	0	1	3	4	0	7
11	44	0	2	3	4	0	8
11	48	0	3	3	4	0	5
11	52	1	1	3	5	0	5
11	56	1	2	3	5	0	29
11	60	1	3	3	5	0	10
12	4	1	1	3	1	0	16
12	8	1	2	3	1	0	20
12	12	0	3	3	1	0	20
12	16	1	1	3	2	-1	20
12	20	1	2	3	2	-1	29
12	24	1	3	3	2	0	30
12	28	0	1	3	3	0	8
12	32	1	2	3	3	0	6
12	36	1	3	3	3	0	8
12	40	0	1	3	4	0	11
12	44	0	2	3	4	0	18
12	48	0	3	3	4	0	9
12	52	1	1	3	5	0	18
12	56	1	2	3	5	0	10
12	60	1	3	3	5	0	26
13	2	0	1	3	1	0	11
13	6	1	2	3	1	0	10
13	10	0	3	3	1	0	19
13	14	1	1	3	2	0	24
13	18	1	2	3	2	0	19
13	22	1	3	3	2	0	17
13	26	1	1	3	3	0	10
13	30	0	2	3	3	0	21
13	34	0	3	3	3	0	12
13	38	1	1	3	4	0	8
13	42	0	2	3	4	-1	12
13	46	1	3	3	4	0	18
13	50	1	1	3	5	0	63
13	54	1	2	3	5	0	21
13	58	1	3	3	5	0	43
14	3	0	1	3	1	0	12
14	7	0	2	3	1	0	13
14	11	1	3	3	1	-1	16
14	15	1	1	3	2	-1	12
14	19	1	2	3	2	-1	15
14	23	1	3	3	2	-1	13
14	27	0	1	3	3	0	7
14	31	0	2	3	3	0	15
14	35	0	3	3	3	0	6
14	39	1	1	3	4	0	8
14	43	1	2	3	4	0	7
14	47	0	3	3	4	0	12
14	51	1	1	3	5	0	16
14	55	1	2	3	5	0	32
14	59	1	3	3	5	0	20
15	2	0	1	3	1	0	8
15	6	1	2	3	1	0	5
15	10	0	3	3	1	0	12
15	14	1	1	3	2	0	8
15	18	1	2	3	2	0	10
15	22	1	3	3	2	-1	11
15	26	1	1	3	3	0	7
15	30	0	2	3	3	0	8
15	34	0	3	3	3	0	9
15	38	1	1	3	4	0	5
15	42	0	2	3	4	0	5
15	46	1	3	3	4	0	6
15	50	1	1	3	5	0	34
15	54	1	2	3	5	0	9
15	58	1	3	3	5	0	10
16	3	0	1	3	1	0	8
16	7	0	2	3	1	0	6
16	11	1	3	3	1	0	6
16	15	1	1	3	2	-1	7
16	19	1	2	3	2	-1	8
16	23	1	3	3	2	0	11
16	27	0	1	3	3	0	4
16	31	0	2	3	3	0	5
16	35	0	3	3	3	0	6
16	39	1	1	3	4	0	5
16	43	1	2	3	4	0	7
16	47	0	3	3	4	0	10
16	51	1	1	3	5	0	7
16	55	1	2	3	5	0	27
16	59	1	3	3	5	0	17
1	2	0	1	4	1	0	13
1	6	1	2	4	1	0	10
1	10	0	3	4	1	0	24
1	14	1	1	4	2	0	10
1	18	1	2	4	2	0	12
1	22	1	3	4	2	0	13
1	26	1	1	4	3	-1	10
1	30	0	2	4	3	-1	12
1	34	0	3	4	3	0	24
1	38	1	1	4	4	0	14
1	42	0	2	4	4	0	8
1	46	1	3	4	4	0	20
1	50	1	1	4	5	0	39
